checked_at,product,size,in_stock,price_jpy,price_eur,price_usd,purchase_limit,sku,url,note
2026-09-10T22:28:14+00:00,Seisho Matcha,20g,no,,,$32.00,,022976278962,https://kettl.co/products/seisho-matcha,
2026-09-10T22:28:14+00:00,Kiwami Matcha,20g,no,,,$80.00,,183954372093,https://kettl.co/products/kiwami-matcha,
2026-09-10T22:28:14+00:00,Kiwami Single Garden Matcha,20g,no,,,$125.00,,162911139375,https://kettl.co/products/kiwami-single-garden-matcha,
2026-09-10T22:28:14+00:00,Hibiki Matcha,20g,no,,,$52.00,,183954406163,https://kettl.co/products/hibiki-matcha,
2026-09-10T22:28:14+00:00,Fuuka Houjicha Powder,100g,no,,,$35.00,,020825844986,https://kettl.co/products/fuuka-houjicha-powder,
2026-09-10T22:28:14+00:00,Fuuka Houjicha Powder,1kg,no,,,$225.00,,010443209069,https://kettl.co/products/fuuka-houjicha-powder,
2026-09-10T22:28:14+00:00,Hukuju Matcha,100g,no,,,$65.00,,030203170262,https://kettl.co/products/hukuju-matcha,
2026-09-10T22:28:14+00:00,Hukuju Matcha,1kg,no,,,$600.00,,029904092034,https://kettl.co/products/hukuju-matcha,
2026-09-10T22:28:14+00:00,Suiteki Matcha,40g,no,,,$45.00,,022976953593,https://kettl.co/products/suiteki-matcha-100g,
2026-09-10T22:28:14+00:00,Suiteki Matcha,100g,no,,,$80.00,,022971131682,https://kettl.co/products/suiteki-matcha-100g,
2026-09-10T22:28:14+00:00,Suiteki Matcha,1kg,no,,,$650.00,,010441364012,https://kettl.co/products/suiteki-matcha-100g,
2026-09-10T22:28:14+00:00,Gokasho Organic Uji Hikari Matcha,20g,no,,,$115.00,,183957081978,https://kettl.co/products/uji-hikari-matcha,
2026-09-10T22:28:14+00:00,Shiromatsu Matcha,40g,yes,,,$45.00,,022973719192,https://kettl.co/products/shiromatsu-matcha,
2026-09-10T22:28:14+00:00,Shirakawa Asahi Matcha,20g,yes,,,$90.00,,011065034282,https://kettl.co/products/shirakawa-asahi-matcha,
2026-09-10T22:28:14+00:00,Tsuchiyama Matcha,20g,no,,,$38.00,,022978866303,https://kettl.co/products/tsuchiyama-matcha,
2026-09-10T22:28:14+00:00,Hakusan Matcha,40g,no,,,$45.00,,022974639918,https://kettl.co/products/hakusan-matcha,
2026-09-10T22:28:14+00:00,Hakusan Matcha,1kg,no,,,$465.00,,010447617747,https://kettl.co/products/hakusan-matcha,
